Identifiant station,Nom station,Station en fonctionnement,Capacité de la station,Nombre bornettes libres,Nombre total vélos disponibles,Vélos mécaniques disponibles,Vélos électriques disponibles,Borne de paiement disponible,Retour vélib possible,Actualisation de la donnée,Coordonnées géographiques,Nom communes équipées,Code INSEE communes équipées
13007,Le Brun - Gobelins,OUI,48,36,12,9,3,OUI,OUI,2020-05-29T10:38:28Z,"48.8350927878,2.35346813513",Paris,NA
47007,Liberté - Vert-de-Maisons,OUI,20,9,11,4,7,OUI,OUI,2020-05-29T10:41:19Z,"48.7901478096,2.43286281824",Maisons-Alfort,NA
15067,Desaix - Edgar Faure,OUI,12,6,5,2,3,OUI,OUI,2020-05-29T10:40:44Z,"48.8528046049,2.29307702986",Paris,NA
13001,Port-Royal - Hôpital du Val-de-Grâce,OUI,18,10,6,3,3,OUI,OUI,2020-05-29T10:41:26Z,"48.8376682728,2.34481383466",Paris,NA
42014,Place Marcel Cachin,OUI,32,10,21,20,1,OUI,OUI,2020-05-29T10:42:50Z,"48.8141144236,2.39090770483",Ivry-sur-Seine,NA
14012,Sibelle - Alésia,OUI,25,19,6,3,3,OUI,OUI,2020-05-29T10:41:30Z,"48.8267017585,2.33849834651",Paris,NA
17105,Place Madeleine Daniélou,OUI,42,29,13,5,8,OUI,OUI,2020-05-29T10:42:19Z,"48.883498,2.282015",Paris,NA
20134,Lieutenant Chauré - Etienne Marey,OUI,20,19,1,0,1,OUI,OUI,2020-05-29T10:42:00Z,"48.8674619541,2.40597099066",Paris,NA
16108,Sablons - Georges Mandel,OUI,38,35,3,0,3,OUI,OUI,2020-05-29T10:43:30Z,"48.863875,2.28189",Paris,NA
19022,Marché Secrétan,OUI,26,22,4,2,2,OUI,OUI,2020-05-29T10:43:29Z,"48.8812549638,2.37346328795",Paris,NA
21301,Saint-Vincent - Verdun,OUI,34,14,20,18,2,OUI,OUI,2020-05-29T10:41:19Z,"48.8192115492,2.25400775671",Issy-les-Moulineaux,NA
32010,Place aux Étoiles,OUI,40,35,5,2,3,OUI,OUI,2020-05-29T10:36:29Z,"48.9183562941,2.35234256834",Saint-Denis,NA
16018,Flandrin - Henri Martin,OUI,18,14,3,2,1,OUI,OUI,2020-05-29T10:37:37Z,"48.8643275,2.2724174",Paris,NA
33001,Victor Hugo - Magasins Généraux,OUI,34,2,32,10,22,OUI,OUI,2020-05-29T10:43:30Z,"48.9032814011,2.36807238311",Aubervilliers,NA
14018,Porte d'Orléans,OUI,48,5,42,16,26,OUI,OUI,2020-05-29T10:43:04Z,"48.8227639,2.3249313",Paris,NA
17123,Clichy - Lechapelais,NON,0,0,0,0,0,NON,NON,2019-10-10T08:58:39Z,"48.8993920671,2.33194202185",Paris,NA
31027,Place de la République,OUI,28,27,1,1,0,OUI,OUI,2020-05-29T10:42:04Z,"48.852988,2.42467",Montreuil,NA
35014,Charles de Gaulle - Jean Lolive,OUI,26,18,8,3,5,OUI,OUI,2020-05-29T10:42:41Z,"48.8932644351,2.4126765132",Pantin,NA
10010,Place Jacques Bonsergent,OUI,33,21,11,3,8,OUI,OUI,2020-05-29T10:42:10Z,"48.8709482186,2.3612049222",Paris,NA
19041,Belleville - Pyrénées,OUI,42,40,2,1,1,OUI,OUI,2020-05-29T10:42:55Z,"48.8741908,2.3860039",Paris,NA
4101,Bastille - Beaumarchais,OUI,23,0,23,20,3,OUI,OUI,2020-05-29T10:43:26Z,"48.8538334639,2.36857026815",Paris,NA
