numer_sta;date;pmer;tend;cod_tend;dd;ff;t;td;u;vv;ww;w1;w2;n;nbas;hbas;cl;cm;ch;pres;niv_bar;geop;tend24;tn12;tn24;tx12;tx24;tminsol;sw;tw;raf10;rafper;per;etat_sol;ht_neige;ssfrai;perssfrai;rr1;rr3;rr6;rr12;rr24;phenspe1;phenspe2;phenspe3;phenspe4;nnuage1;ctype1;hnuage1;nnuage2;ctype2;hnuage2;nnuage3;ctype3;hnuage3;nnuage4;ctype4;hnuage4;
07005;20180112150000;102630;-60;6;80;1.200000;278.550000;278.250000;98;4990;10;mq;mq;mq;mq;mq;mq;mq;mq;101730;mq;mq;650;mq;mq;mq;mq;277.750000;mq;mq;1.800000;2.700000;-10;1;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.200000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07015;20180112150000;102620;-40;5;90;1.400000;280.250000;278.250000;87;3620;10;mq;mq;100;8;450;mq;mq;mq;102040;mq;mq;660;mq;mq;mq;mq;278.450000;mq;mq;1.800000;2.200000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;-0.100000;-0.100000;mq;mq;mq;mq;8;mq;330;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07020;20180112150000;102400;-150;6;170;4.300000;280.650000;277.750000;82;18000;2;2;mq;90;7;800;35;mq;mq;102300;mq;mq;340;mq;mq;mq;mq;mq;mq;mq;6.900000;7.400000;-10;mq;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;7;6;900;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07027;20180112150000;102560;-120;6;150;2.800000;278.250000;276.950000;91;11520;0;mq;mq;100;8;450;mq;mq;mq;101720;mq;mq;530;mq;mq;mq;mq;278.150000;mq;mq;4.100000;5.900000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.600000;mq;mq;mq;mq;8;mq;300;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07037;20180112150000;102650;-50;6;140;2.000000;276.850000;276.250000;96;7420;0;mq;mq;100;8;150;mq;mq;mq;100750;mq;mq;670;mq;mq;mq;mq;277.750000;mq;mq;3.800000;3.800000;-10;mq;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;8;mq;180;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07072;20180112150000;102550;-50;5;0;0.000000;280.350000;278.650000;89;5040;0;mq;mq;100;4;250;mq;mq;mq;101380;mq;mq;710;mq;mq;mq;mq;278.450000;mq;mq;0.900000;2.500000;-10;1;0.000000;mq;mq;0.000000;0.000000;0.000000;0.200000;0.200000;mq;mq;mq;mq;4;mq;270;8;mq;2040;mq;mq;mq;mq;mq;mq;
07110;20180112150000;102220;-210;6;150;5.700000;279.650000;278.950000;95;5880;0;mq;mq;100;8;250;mq;mq;mq;101010;mq;mq;60;mq;mq;mq;mq;271.850000;mq;mq;8.400000;8.400000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;8;mq;240;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07117;20180112150000;102300;-170;6;140;2.400000;280.650000;275.950000;72;14000;2;2;mq;90;7;2250;30;21;mq;101580;mq;mq;200;mq;mq;mq;mq;mq;mq;mq;4.000000;5.300000;-10;0;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;7;4;2400;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07130;20180112150000;102500;-130;6;160;2.700000;278.750000;277.250000;90;7130;0;mq;mq;100;8;450;mq;mq;mq;102040;mq;mq;540;mq;mq;mq;mq;277.750000;mq;mq;3.800000;5.700000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;8;mq;330;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07139;20180112150000;102600;-110;6;220;1.100000;277.850000;276.050000;88;17580;0;mq;mq;100;8;450;mq;mq;mq;100800;mq;mq;630;mq;mq;mq;mq;279.550000;mq;mq;2.300000;2.300000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;8;mq;300;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07149;20180112150000;102600;-40;5;40;1.500000;279.550000;277.350000;86;5540;1;2;2;100;8;450;36;mq;mq;101480;mq;mq;730;mq;mq;mq;mq;mq;mq;mq;2.300000;3.600000;-10;0;0.000000;0.000000;-30;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;8;7;360;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07168;20180112150000;102510;-50;6;60;1.600000;281.050000;278.550000;84;7430;0;mq;mq;mq;2;450;mq;mq;mq;101060;mq;mq;720;mq;mq;mq;mq;278.950000;mq;mq;3.100000;3.100000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;2;mq;330;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07181;20180112150000;102470;-20;6;50;1.400000;280.350000;276.950000;79;27560;0;mq;mq;mq;3;450;mq;mq;mq;98310;mq;mq;700;mq;mq;mq;mq;277.950000;mq;mq;2.300000;4.100000;-10;mq;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;3;mq;510;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07190;20180112150000;102520;0;5;160;1.500000;279.050000;276.850000;86;7450;0;mq;mq;75;6;450;mq;mq;mq;100650;mq;mq;750;mq;mq;mq;mq;276.950000;mq;mq;2.500000;4.100000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;-0.100000;mq;mq;mq;mq;6;mq;450;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07207;20180112150000;102400;-150;6;130;5.100000;280.550000;278.150000;85;18000;3;2;mq;100;8;800;36;mq;mq;101870;mq;mq;390;mq;mq;mq;mq;mq;mq;mq;8.800000;10.100000;-10;0;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;8;7;800;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07222;20180112150000;102470;-150;6;140;2.200000;278.950000;276.950000;87;15100;0;mq;mq;100;8;450;mq;mq;mq;102150;mq;mq;630;mq;mq;mq;mq;272.850000;mq;mq;4.000000;5.000000;-10;mq;mq;mq;mq;0.000000;0.000000;0.000000;0.200000;0.200000;mq;mq;mq;mq;8;mq;390;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07240;20180112150000;102570;-110;6;10;1.000000;279.050000;276.750000;85;18420;0;mq;mq;100;8;450;mq;mq;mq;101180;mq;mq;740;mq;mq;mq;mq;278.250000;mq;mq;1.600000;2.500000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;-0.100000;mq;mq;mq;mq;8;mq;570;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07255;20180112150000;102490;-70;5;40;1.300000;281.250000;277.250000;76;20000;0;mq;mq;mq;mq;mq;mq;mq;mq;100460;mq;mq;700;mq;mq;mq;mq;278.550000;mq;mq;3.000000;4.700000;-10;mq;0.000000;mq;mq;0.000000;0.000000;0.000000;0.400000;6.800000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07280;20180112150000;102400;-40;5;10;3.100000;281.550000;277.550000;76;16890;0;mq;mq;mq;5;800;mq;mq;mq;99640;mq;mq;680;mq;mq;mq;mq;277.750000;mq;mq;4.300000;5.300000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;-0.100000;0.400000;mq;mq;mq;mq;5;mq;600;5;mq;840;mq;mq;mq;mq;mq;mq;
07299;20180112150000;102530;60;3;10;1.500000;277.950000;275.150000;82;10000;1;2;2;100;7;450;38;mq;mq;99170;mq;mq;800;mq;mq;mq;mq;277.650000;mq;mq;2.800000;4.100000;-10;0;0.000000;0.000000;-30;0.000000;0.000000;0.000000;-0.100000;-0.100000;mq;mq;mq;mq;1;8;300;5;6;420;7;6;800;mq;mq;mq;
07314;20180112150000;102510;-140;6;120;3.000000;280.250000;277.550000;83;11000;2;2;mq;100;8;2250;30;27;mq;102220;mq;mq;650;mq;mq;mq;mq;mq;mq;mq;5.100000;5.100000;-10;2;mq;mq;mq;0.000000;0.000000;0.000000;0.200000;0.200000;mq;mq;mq;mq;8;4;2100;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07335;20180112150000;102530;-100;5;40;2.400000;280.050000;277.550000;84;18320;0;mq;mq;100;8;450;mq;mq;mq;101050;mq;mq;710;mq;mq;mq;mq;279.050000;mq;mq;3.600000;3.600000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.400000;mq;mq;mq;mq;8;mq;570;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07434;20180112150000;102430;-40;8;40;2.700000;279.250000;276.550000;83;48540;0;mq;mq;100;8;800;mq;mq;mq;97540;mq;mq;570;mq;mq;mq;mq;278.250000;mq;mq;4.600000;4.600000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.400000;2.200000;mq;mq;mq;mq;8;mq;900;mq;mq;mq;mq;mq;mq;mq;mq;mq;
